Antecedent;Consequent
" Breze 0,65|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Tagessuppe a 0,30 "; Dessert a 1,60   
 Fruchtsaft frisch|  O-Saft frisch ; Beilage a 0,45   
 Beilage a 0,45|  Breze 0,65|  Fruchtsaft frisch ; O-Saft frisch   
 Beilage a 0,45|  Breze 0,65|  O-Saft frisch ; Fruchtsaft frisch   
 Beilage a 0,45|  Fruchtsaft frisch|  O-Saft frisch ; Breze 0,65   
 Breze 0,65|  Fruchtsaft frisch|  O-Saft frisch ; Beilage a 0,45   
" Gericht frei|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; O-Saft frisch   
 Dessert a 0,80|  Fruchtsaft frisch|  Suppe 1,00 ; Salat Port.  0,60   
 Fruchtsaft frisch|  Salat Port.  0,60|  Suppe 1,00 ; Dessert a 0,80   
 Dessert a 0,80|  Salat Schale|  Salat Schale ;" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00| "
 O-Saft frisch|  Salat Schale|  Salat Schale ;" Dessert a 0,80|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00| "
 Salat Schale|  Salat Schale|  Suppe 1,00 ;" Dessert a 0,80|  O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen | "
 Dessert a 0,80|  O-Saft frisch|  Suppe 1,00 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
 Dessert a 0,80|  O-Saft frisch|  Salat Schale|  Salat Schale ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00| "
 Dessert a 0,80|  Salat Schale|  Salat Schale|  Suppe 1,00 ;" O-Saft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen | "
 O-Saft frisch|  Salat Schale|  Salat Schale|  Suppe 1,00 ;" Dessert a 0,80|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen | "
" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale|  Salat Schale "; Dessert a 0,80|  O-Saft frisch|  Suppe 1,00| 
