Antecedent;Consequent
 Croissant 0,90 | Marmelade 0,35 | Wiener Teller ; Breze 0,65 | O-Saft frisch | Port. Butter Honig ec |
 Croissant 0,90 | O-Saft frisch | Wiener Teller ; Breze 0,65 | Marmelade 0,35 | Port. Butter Honig ec |
 Breze 0,65 | Croissant 0,90 | Marmelade 0,35 ; O-Saft frisch | Port. Butter Honig ec |
 Breze 0,65 | Croissant 0,90 | Wiener Teller ; Marmelade 0,35 | O-Saft frisch | Port. Butter Honig ec |
 Croissant 0,90 | Marmelade 0,35 | O-Saft frisch | Port. Butter Honig ec ; Breze 0,65    
 Croissant 0,90 | Marmelade 0,35 | O-Saft frisch | Wiener Teller ; Breze 0,65 | Port. Butter Honig ec |
 Croissant 0,90 | Marmelade 0,35 | Port. Butter Honig ec | Wiener Teller ; Breze 0,65 | O-Saft frisch |
 Croissant 0,90 | O-Saft frisch | Port. Butter Honig ec | Wiener Teller ; Breze 0,65 | Marmelade 0,35 |
 Breze 0,65 | Croissant 0,90 | Marmelade 0,35 | O-Saft frisch ; Port. Butter Honig ec    
 Breze 0,65 | Croissant 0,90 | Marmelade 0,35 | Wiener Teller ; O-Saft frisch | Port. Butter Honig ec |
 Breze 0,65 | Croissant 0,90 | O-Saft frisch | Wiener Teller ; Marmelade 0,35 | Port. Butter Honig ec |
 Breze 0,65 | Croissant 0,90 | Marmelade 0,35 | Port. Butter Honig ec ; O-Saft frisch    
 Breze 0,65 | Croissant 0,90 | Port. Butter Honig ec | Wiener Teller ; Marmelade 0,35 | O-Saft frisch |
 Breze 0,65 | Croissant 0,90 | Marmelade 0,35 | O-Saft frisch | Port. Butter Honig ec ; Wiener Teller    
 Breze 0,65 | Croissant 0,90 | Marmelade 0,35 | O-Saft frisch | Wiener Teller ; Port. Butter Honig ec    
 Breze 0,65 | Croissant 0,90 | Marmelade 0,35 | Port. Butter Honig ec | Wiener Teller ; O-Saft frisch    
 Breze 0,65 | Croissant 0,90 | O-Saft frisch | Port. Butter Honig ec | Wiener Teller ; Marmelade 0,35    
 Breze 0,65 | Marmelade 0,35 | O-Saft frisch | Port. Butter Honig ec | Wiener Teller ; Croissant 0,90    
 Croissant 0,90 | Marmelade 0,35 | O-Saft frisch | Port. Butter Honig ec | Wiener Teller ; Breze 0,65    
 BIO Back 0,45 | Wiener Teller ; LeberkÃ¤se Teller  
 LeberkÃ¤se Teller | Wiener Telle; BIO Back 0,45    
 Wiener Teller | belegte Backw. 1,70 ; Backwaren Kuchen 1,30    
 BIO-RÃ¼hrei | Wiener Telle; Klassik Semmel 0,30 | Obst 0,40 | belegte Backw. 1,40 |
